Player_Id,Player_Name,DOB,Batting_Hand,Country
417,TM Head,29-Dec-93,Left_Hand,Australia
418,M Ashwin,08-Sep-90,Right_Hand,India
419,NS Naik,09-Nov-94,Right_Hand,India
420,RR Pant,04-Oct-97,Left_Hand,India
421,SW Billings,15-Jun-91,Right_Hand,England
422,KC Cariappa,13-Apr-94,Right_Hand,India
423,PSP Handscomb,26-Apr-91,Right_Hand,Australia
424,Swapnil Singh,22-Jan-91,Right_Hand,India
425,J Yadav,22-Jan-90,Right_Hand,India
426,UT Khawaja,18-Dec-86,Left_Hand,Australia
427,HM Amla,31-Mar-83,Right_Hand,South Africa
428,F Behardien,09-Oct-83,Right_Hand,South Africa
429,BB Sran,10-Dec-92,Left_Hand,India
430,A Zampa,31-Mar-92,Right_Hand,Australia
431,N Rana,27-Dec-93,Left_Hand,India
432,S Kaushik,07-Sep-95,Right_Hand,India
433,ER Dwivedi,22-Jul-88,Right_Hand,India
434,CJ Jordan,04-Oct-88,Right_Hand,England
435,P Amarnath,01-Jun-82,Right_Hand,India
436,B Geeves,13-Jun-82,Right_Hand,Australia
437,Gagandeep Singh,03-Oct-81,Right_Hand,India
438,A Nel,15-Jul-77,Right_Hand,South Africa
439,AM Salvi,20-Oct-81,Right_Hand,India
440,RR Bose,27-Feb-79,Right_Hand,India
441,SS Sarkar,15-Dec-84,Right_Hand,India
442,RA Shaikh,12-Jun-85,Left_Hand,India
443,C Ganapathy,10-Jun-81,Right_Hand,India
444,MB Parmar,12-Apr-88,Right_Hand,India
445,AA Kazi,29-Sep-89,Left_Hand,India
446,Anand Rajan,17-Apr-87,Right_Hand,India
447,P Prasanth,22-May-85,Left_Hand,India
448,SS Mundhe,27-Oct-88,Right_Hand,India
449,RW Price,12-Jun-76,Right_Hand,Zimbabwea
450,TP Sudhindra,24-Apr-84,Left_Hand,India
451,BW Hilfenhaus,15-Mar-83,Right_Hand,Australia
452,S Badree,09-Mar-81,Right_Hand,West Indies
453,P Suyal,15-Oct-89,Right_Hand,India
454,MG Neser,29-Mar-90,Right_Hand,Australia
455,V Shankar,26-Jan-91,Right_Hand,India
456,K Santokie,20-Dec-84,Left_Hand,West Indies
457,JW Hastings,04-Nov-85,Right_Hand,Australia
458,TA Boult,22-Jul-89,Right_Hand,New Zealand
459,GS Sandhu,14-Jun-93,Left_Hand,Australia
460,Mustafizur Rahman,06-Sep-95,Left_Hand,Bangladesh
461,AF Milne,13-Apr-92,Right_Hand,New Zealand
462,Kuldeep Yadav,14-Dec-94,Left_Hand,India
463,T Shamsi,18-Feb-90,Right_Hand,South Africa
464,SM Boland,11-Apr-89,Right_Hand,Australia
465,DL Chahar,07-Aug-92,Right_Hand,India
466,P Dharmani,27-Sep-74,Right_Hand,India
467,RV Pawar,06-Sep-79,Left_Hand,India
468,KH Devdhar,14-Dec-89,Right_Hand,India
469,T Mishra,22-Dec-86,Right_Hand,India
470,Asad Rauf,NULL,NULL,Pakistan
471,MR Benson,NULL,NULL,England
472,Aleem Dar,NULL,NULL,Pakistan
473,SJ Davis,NULL,NULL,England
